epoch,loss,lr,val_loss
0,0.0008828917634673417,1e-04,0.0006613851292058825
1,0.0006514806300401688,1e-04,0.0005780808860436082
2,0.000535328930709511,1e-04,0.0006479035946540534
3,0.00045239494647830725,1e-04,0.0006091993418522179
4,0.0003979476459790021,1e-04,0.0006480623269453645
5,0.000343149557011202,1e-04,0.0007175692589953542
6,0.0003094314888585359,1e-04,0.0007712863152846694
7,0.00024655976449139416,5e-05,0.000723073142580688
8,0.00019870771211571991,5e-05,0.0006901230663061142
9,0.00018646952230483294,5e-05,0.0007467649411410093
10,0.00016488139226567,5e-05,0.0006564558716490865
11,0.0001539905060781166,5e-05,0.0007542598759755492
